0.000000	1.685708	0.000000	0.000000	0.962296
1.000000	1.686092	0.000015	0.962296	0.603834
2.000000	1.686475	0.000030	1.207669	0.208081
3.000000	1.686860	0.000045	1.378459	0.152998
4.000000	1.687244	0.000060	1.513665	0.124438
5.000000	1.687628	0.000075	1.627335	0.106333
6.000000	1.688013	0.000090	1.726330	0.093620
7.000000	1.688398	0.000104	1.814575	0.084109
8.000000	1.688783	0.000119	1.894549	0.076677
9.000000	1.689168	0.000134	1.967929	0.070680
10.000000	1.689554	0.000149	2.035909	0.065722
11.000000	1.689940	0.000164	2.099373	0.061542
12.000000	1.690326	0.000179	2.158992	0.057961
13.000000	1.690712	0.000194	2.215296	0.054855
14.000000	1.691098	0.000209	2.268703	0.052130
15.000000	1.691484	0.000224	2.319556	0.049717
16.000000	1.691871	0.000239	2.368136	0.047562
17.000000	1.692258	0.000254	2.414680	0.045625
18.000000	1.692645	0.000269	2.459386	0.043872
19.000000	1.693032	0.000284	2.502424	0.042277
20.000000	1.693420	0.000299	2.543941	0.040819
21.000000	1.693807	0.000314	2.584062	0.039480
22.000000	1.694195	0.000329	2.622901	0.038245
23.000000	1.694583	0.000344	2.660553	0.037102
24.000000	1.694971	0.000359	2.697105	0.036041
25.000000	1.695360	0.000374	2.732634	0.035052
26.000000	1.695748	0.000389	2.767209	0.034129
27.000000	1.696137	0.000404	2.800892	0.033264
28.000000	1.696526	0.000419	2.833737	0.032452
29.000000	1.696915	0.000434	2.865796	0.031688
30.000000	1.697305	0.000449	2.897114	0.030968
31.000000	1.697694	0.000464	2.927732	0.030288
32.000000	1.698084	0.000479	2.957689	0.029644
33.000000	1.698474	0.000494	2.987019	0.029033
34.000000	1.698864	0.000509	3.015756	0.028454
35.000000	1.699254	0.000524	3.043927	0.027903
36.000000	1.699645	0.000539	3.071561	0.027378
37.000000	1.700036	0.000554	3.098683	0.026877
38.000000	1.700427	0.000569	3.125316	0.026400
39.000000	1.700818	0.000584	3.151482	0.025943
40.000000	1.701209	0.000599	3.177202	0.025506
41.000000	1.701601	0.000614	3.202494	0.025087
42.000000	1.701993	0.000629	3.227376	0.024686
43.000000	1.702384	0.000644	3.251865	0.024300
